иностранныйязык;ин.яз
схемотехникателекоммуникационныхустройств;сту
вычислительнаятехникаиинформационныетехнологии;втиит
вычислительнаятехникаиинфомационныетехнологии;втиит
основыпостроенияинфокоммуникационныхсистемисетей;описс
теорияэлектрическойсвязи;тэс
антенно-фидерныеустройствавоенныхсредствикомплексоврадиосвязи;афувоен.срикомпл.вр.связи
военно-инженернаяподготовка;вип
электропитаниеустройствисистемтелекоммуникаций;эуист
безопасностьжизнедеятельности;бжд
радиорелейныеиспутниковыесистемыпередачиспециальногоназначения;ррисссн
радиорелейныеиспутниковыесистемыпередачиспециальногоназначения;рисссн
инфокоммуникационныесистемыспециальногоназначения;иссн
средстваикомплексысвязивоенногоназначения;сиксвн
автоподготовка;автомобильнаяподготовка
ап;автомобильнаяподготовка
рхбз;радиационная,химическаяибиологическаязащита
иикг;инженернаяикомпьютернаяграфика
основытеориицепей;отц
цифроваяобработкасигналов;циос
цифроваяобработкасигналов;цос
метрология,стандартизацияисертификациявинфокоммуникациях;метрология
направляющиесредывтелекоммуникациях;нсвт
основыкриптографическойзащитыинформации;окзи
системымногоканальнойсвязиспециальногоназначения;смссн
системымногоканальнойсвязиспециальногоназначения;системымксспец.назнач
медицинскоеобеспечение;мед.обеспечение
военнаятопография;в.топография
тактико-специальнаяподготовка;тсп
радиорелейныеиспутниковыесистемыпередачиспециальногоназначения;ррлиспутн.спспец.назнач
радиореллейныеиспутниковыесистемыпередачиспециальногоназначения;ррлиспутн.спспец.назнач
техническоеобеспечениесвязииавтоматизации;тосиа
организациясвязивподразделенияхобщевойсковыхсоединениях;освпос
сетевоеоборудованиекомплексовсвязиспециальногоназначения;сокссн
эксплуатациясредствикомплексовшифрованнойсвязи;эсикшс
физическаяподготовка;фп
системырадиосвязиспециальногоназначения;срссн
системырадиосвязиспециальногоназначения;срсн
историяотечества;истроияотчества
историяотечества;историяотчества
основынадежностисредствсвязи;онсс
радиорелейныеиспутниковыесистемыпередачиспециальногоназначения;ррисспсн
эксплуатацияинфокоммуникационныхсистемспециальногоназачения;эиссн
радиорелейныеиспутниковыесистемыпередачиспециальногоназначения;рисспсн
организацияработысличнымсоставомвсрфимподеятельностивойск(сил);орслсимодв
защитаинфокоммуникационныхсистемспециальногоназначения;зиссн
защитагосударственнойтайны;згт
системыцифровойкоммутацииишифрования;сцкиш
современныетехнологиисетейвоеннойсвязи;стсвс
работанасредствахсвязи;рнсс
общевоинскиеуставывооруженныхсилроссийскойфедерации;ову
управлениеподразделениямивмирноевремя;упмв
строеваяподготовка;сп
цифровыесистемыпередачи;цсп
работанасредствахсвязи;работанаредствахсвязи
аналоговыесистемыпередачи;асп
организацияработысличнымсоставомвсрфимподеятельностивойск(сил);орслсимподв
защитагосударственнойтайны;защитагос.тайны
работанасредствахсвязи;рсс
строеваяподготовка;строеваяподготвка
математика;матаматика
направляющиесредывтелекоммуникациях;направляющиесредывтелекоммуникацияз
основывоенно-педагогическойдеятельностиофицера;овпдо
радиореллейныеиспутниковыесистемыпередачиспециальногоназначения;риспссн
основывоенно-педагогическойдеятельностиофицера;овдо
радиореллейныеиспутниковыесистемыпередачиспециальногоназначения;риспсн
автоматизированныесистемыуправлениявойсками;асув
военныеинтегрированныесистемынавигации,связииуправления;виснсиу
